,batch,cpu_clk,fair_check_preempt_curr_hits,fair_check_preempt_curr_ns,fair_dequeue_task_hits,fair_dequeue_task_ns,fair_enqueue_task_hits,fair_enqueue_task_ns,fair_lb_idle_hits,fair_lb_idle_ns,fair_lb_periodic_hits,fair_lb_periodic_ns,fair_migrate_task_rq_hits,fair_migrate_task_rq_ns,fair_pick_next_task_hits,fair_pick_next_task_ns,fair_prio_changed_hits,fair_prio_changed_ns,fair_put_prev_task_hits,fair_put_prev_task_ns,fair_rq_offline_hits,fair_rq_offline_ns,fair_rq_online_hits,fair_rq_online_ns,fair_select_task_rq_hits,fair_select_task_rq_ns,fair_set_curr_task_hits,fair_set_curr_task_ns,fair_switched_from_hits,fair_switched_from_ns,fair_switched_to_hits,fair_switched_to_ns,fair_task_dead_hits,fair_task_dead_ns,fair_task_fork_hits,fair_task_fork_ns,fair_task_tick_hits,fair_task_tick_ns,fair_task_woken_hits,fair_task_woken_ns,fair_total_hits,fair_total_ns,fair_yield_task_hits,fair_yield_task_ns,fair_yield_to_task_hits,fair_yield_to_task_ns,file,idle_total_hits,idle_total_ns,ipanema_check_preempt_curr_hits,ipanema_check_preempt_curr_ns,ipanema_dequeue_task_hits,ipanema_dequeue_task_ns,ipanema_enqueue_task_hits,ipanema_enqueue_task_ns,ipanema_lb_idle_hits,ipanema_lb_idle_ns,ipanema_lb_periodic_hits,ipanema_lb_periodic_ns,ipanema_migrate_task_rq_hits,ipanema_migrate_task_rq_ns,ipanema_pick_next_task_hits,ipanema_pick_next_task_ns,ipanema_prio_changed_hits,ipanema_prio_changed_ns,ipanema_put_prev_task_hits,ipanema_put_prev_task_ns,ipanema_rq_offline_hits,ipanema_rq_offline_ns,ipanema_rq_online_hits,ipanema_rq_online_ns,ipanema_select_task_rq_hits,ipanema_select_task_rq_ns,ipanema_set_curr_task_hits,ipanema_set_curr_task_ns,ipanema_switched_from_hits,ipanema_switched_from_ns,ipanema_switched_to_hits,ipanema_switched_to_ns,ipanema_task_dead_hits,ipanema_task_dead_ns,ipanema_task_fork_hits,ipanema_task_fork_ns,ipanema_task_tick_hits,ipanema_task_tick_ns,ipanema_task_woken_hits,ipanema_task_woken_ns,ipanema_total_hits,ipanema_total_ns,ipanema_yield_task_hits,ipanema_yield_task_ns,ipanema_yield_to_task_hits,ipanema_yield_to_task_ns,kernel,ktime,machine,nr_load_updates,nr_migrations,nr_migrations_wc,nr_sleep,nr_switches,nr_uninterruptible,nr_wakeup,procstat_guest,procstat_guest_nice,procstat_idle,procstat_iowait,procstat_irq,procstat_nice,procstat_softirq,procstat_steal,procstat_system,procstat_total,procstat_user,sched_clk,sched_total_ns,scheduler,st_mtime,tasks,time
0,kbuild 4.19,62661.27209100127,226403,77483872,386017,1799714232,386017,1495458830,56,887157,147778,1827599867,83647,69121143,883056,3790202352,0,0,180747,193018531,0,0,0,0,270493,1948345984,32669,17787459,0,0,0,0,32638,24126044,32637,208078874,1134732,11134940042,0,0,3797098,22587728154,208,963767,0,0,/root/storage/i80/kbuild/4.19/abe37a92a5d6474e82a0dfcf733464ef/data/lJk3h5MqNiLiNX,126805,4828966329287,0,0,0,0,0,0,0,0,1238765,9269300653,0,0,2317,2617624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241082,9271918277,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,62663.83261900395,i80,1777553,83626,7599,318500,898685,0,285213,0,0,547723,15,0,0,340,0,281700,1002022,172244,62661.27211000025,245111246730,Linux,1554254261.7271242,512,47.86
1,kbuild 4.19,62647.67688599974,221926,76100388,382336,1777723674,382336,1482232048,66,1020069,144353,1805565957,83706,69434977,879530,3788043137,0,0,181465,191116558,0,0,0,0,267255,1937507670,32667,17693333,0,0,0,0,32635,24211879,32635,209519562,1136674,11112741146,0,0,3777689,22493477016,105,566618,0,0,/root/storage/i80/kbuild/4.19/abe37a92a5d6474e82a0dfcf733464ef/data/aK1Ymdm5brkKBj,127673,4969972006154,0,0,0,0,0,0,0,0,1239166,10721066639,0,0,2459,2749163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241625,10723815802,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,62650.00831799954,i80,1711120,83692,7687,314513,894812,0,281228,0,0,546743,49,0,0,435,0,282618,1001846,172001,62647.676882997155,449885124151,Linux,1554257276.1994293,512,47.75
2,kbuild 4.19,63893.70143400133,38877,14491417,337548,1627178046,337548,559645192,764,8819559,623826,5740799419,53484,45899110,582430,3268897808,0,0,298248,127082675,0,0,0,0,274051,1364314708,32642,16706519,0,0,0,0,32636,22874622,32635,189032883,559800,4811655032,0,0,3204491,17797419765,2,22775,0,0,/root/storage/i80/kbuild/4.19/abe37a92a5d6474e82a0dfcf733464ef/data/O6iOasbY1l8IRP,266445,7405941052289,0,0,0,0,0,0,0,0,1266368,13987144323,0,0,15265,18086219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281633,14005230542,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,63897.27530400455,i80,1716102,53491,49344,301469,603704,0,268184,0,0,793802,118,0,0,267,0,108225,1018369,115957,63893.70143799484,475994600533,Linux,1554254876.9620743,64,49.11
3,kbuild 4.19,66188.48727699369,35163,13947751,333423,1634884343,333423,547452777,739,8367844,626402,5785950812,50470,43896068,580253,3190492142,0,0,297940,126827801,0,0,0,0,271432,1359037089,32647,16716092,0,0,0,0,32638,23885976,32638,186372145,560523,4894014221,0,0,3187697,17831882151,6,37090,0,0,/root/storage/i80/kbuild/4.19/abe37a92a5d6474e82a0dfcf733464ef/data/wd47fiGjwhn9Di,266325,7785384696803,0,0,0,0,0,0,0,0,1264880,19035640644,0,0,15154,17111560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280034,19052752204,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,66189.84570899606,i80,1763231,50466,46929,299242,601334,0,265954,0,0,830039,54,0,0,334,0,108595,1054916,115894,66188.48727399856,3849889210489,Linux,1554256540.384272,64,50.27
4,kbuild 4.19,62591.663882002234,210720,74230185,373036,1744838947,373036,1477897485,184,2959754,144729,1593211792,75939,64205092,695114,2559151265,0,0,183085,197210047,0,0,0,0,272756,1958845659,32670,17570582,0,0,0,0,32639,24761633,32638,208184049,1132604,10847463820,0,0,3559150,20770530310,0,0,0,0,/root/storage/i80/kbuild/4.19/abe37a92a5d6474e82a0dfcf733464ef/data/XelDw6lQ6Jlj7t,128681,4840618615565,0,0,0,0,0,0,0,0,1241495,9665920077,0,0,2680,2952786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244175,9668872863,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,62594.78917299956,i80,1713432,75921,17144,313152,697090,0,279864,0,0,547469,13,0,0,656,0,284737,1000906,168031,62591.663877002895,310227071008,Linux,1554255309.6406224,256,47.68
5,kbuild 4.19,62224.55753199756,219230,76218491,382529,1810018951,382529,1529315883,178,3075353,153148,1678576404,76260,64297518,707133,2606190594,0,0,184191,198927644,0,0,0,0,281303,2000829417,32665,17739810,0,0,0,0,32634,25043467,32634,208907356,1130243,10900212896,0,0,3614694,21119465404,17,111620,0,0,/root/storage/i80/kbuild/4.19/abe37a92a5d6474e82a0dfcf733464ef/data/UxQwEKeksNTktt,129773,4788222703454,0,0,0,0,0,0,0,0,1236234,9353911688,0,0,2731,3136314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238965,9357048002,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,62226.999022997916,i80,1774882,76239,17130,322636,709318,0,289352,0,0,542469,15,0,0,389,0,284547,994942,167522,62224.557530999184,324791654818,Linux,1554257529.6731963,256,47.42
6,kbuild 4.19,63158.81262600422,86032,24611949,375679,2014674640,375679,917963017,978,17164299,295752,2797815345,96233,84021960,594763,4745294468,0,0,288534,182333084,0,0,0,0,287464,1700224689,32645,17746694,0,0,0,0,32635,24849511,32635,222408317,988059,9674788737,0,0,3487090,22423912840,2,16130,0,0,/root/storage/i80/kbuild/4.19/abe37a92a5d6474e82a0dfcf733464ef/data/sWcS4bnjLjAyTP,252624,5408570299956,0,0,0,0,0,0,0,0,1260750,20645511554,0,0,18099,19750077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278849,20665261631,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,63162.71924799681,i80,1718983,96234,83663,320808,621330,0,287523,0,0,612566,27,0,0,238,0,239462,1008230,155937,63158.81261900067,314875478267,Linux,1554254450.064073,128,47.16
7,kbuild 4.19,73968.04009900242,29524,12543623,317591,768097071,317591,426183537,615,5610211,474311,3505895558,30943,24187227,565826,1813630151,0,0,287840,73951052,0,0,0,0,255591,972080589,32642,17163878,0,0,0,0,32637,21561032,32637,94812308,367377,1974504436,0,0,2745136,9710243422,11,22749,0,0,/root/storage/i80/kbuild/4.19/abe37a92a5d6474e82a0dfcf733464ef/data/lBWK3wiKsbU5PH,257154,9762904040689,0,0,0,0,0,0,0,0,878990,11720337954,0,0,15061,15338153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894051,11735676107,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,73971.50148899853,i80,2019687,30961,30021,288918,587003,0,255631,0,0,1033669,44,0,0,321,0,42315,1181270,104921,73968.04009900242,290139745281,Linux,1554255925.0541005,32,58.07
8,kbuild 4.19,62672.163938999176,89327,25006065,379571,2034893123,379571,939472533,934,16049630,299099,2854654837,98808,85669632,596634,4673747512,0,0,289019,184648489,0,0,0,0,289710,1714732552,32655,17814216,0,0,0,0,32635,24761194,32634,223042694,987661,9688264175,0,0,3508261,22482770562,3,13910,0,0,/root/storage/i80/kbuild/4.19/abe37a92a5d6474e82a0dfcf733464ef/data/kKmjkr4L39nosu,252784,5518118059051,0,0,0,0,0,0,0,0,1260060,20216807692,0,0,18018,20245510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278078,20237053202,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,62675.070247001946,i80,1678776,98807,85932,322690,623217,0,289406,0,0,604785,57,0,0,268,0,238689,1000347,156548,62672.16394499689,361120091015,Linux,1554256108.5386324,128,46.76
9,kbuild 4.19,73437.30533500016,31401,12848071,321937,770085591,321937,439573957,614,5724489,456489,3303186153,32399,24766789,572565,1983932384,0,0,290224,75966917,0,0,0,0,258432,984934834,32638,17076575,0,0,0,0,32635,21338152,32634,94051447,367074,1921330208,0,0,2750989,9654842389,10,26822,0,0,/root/storage/i80/kbuild/4.19/abe37a92a5d6474e82a0dfcf733464ef/data/S9y2Yex7DGQAT8,259508,9727444893135,0,0,0,0,0,0,0,0,840514,3782529738,0,0,15772,16655510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856286,3799185248,0,0,0,0,4.19.0-ipanema-gdc61d27d4a8a,73439.45317500085,i80,2123493,32398,31062,292530,593876,0,259246,0,0,1025735,28,0,0,353,0,41639,1173212,105457,73437.30533900112,236665826980,Linux,1554256804.7232273,32,58.65
